acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,name,artist
0.000137,0.514,164797,0.968,0.00026,0.128,-3.737,0.19,117.878,0.262,"Dear Diary,",Bring Me The Horizon
0.0112,0.72,193293,0.625,0.0076,0.0999,-6.274,0.0362,102.006,0.818,OK,Wallows
0.000985,0.639,166520,0.816,0.0604,0.141,-5.28,0.0485,138.008,0.802,Scrawny,Wallows
0.0282,0.594,223562,0.981,0.000357,0.184,-4.107,0.274,145.986,0.397,The Government Knows,KNOWER
0.0104,0.323,288640,0.923,0.0000346,0.668,-4.652,0.302,141.64,0.26,Cut Out The Pieces,McCafferty
0.156,0.682,178000,0.683,0.0000232,0.273,-6.444,0.0287,120.023,0.64,Are You Bored Yet? (feat. Clairo),Wallows
0.000481,0.51,189360,0.686,0,0.0781,-3.437,0.105,161.977,0.822,Why Still Bother,ITCHY
0.0253,0.633,194117,0.825,0,0.389,-6.894,0.218,172.034,0.525,Gas Mask,Rare Americans
0.0289,0.589,291813,0.797,0.00000435,0.383,-5.464,0.15,102.489,0.232,Parasite Eve,Bring Me The Horizon
0.0134,0.479,218533,0.844,0.00000391,0.195,-4.338,0.0819,159.852,0.49,how will i rest in peace if i'm buried by a highway?//,KennyHoopla
0.000248,0.443,204667,0.819,0.00759,0.0802,-5.502,0.0322,154.958,0.494,Pictures of Girls,Wallows
0.00997,0.371,278987,0.869,0,0.166,-4.873,0.071,120.647,0.472,All Those Friendly People,Funeral Suits
0.00548,0.607,195181,0.946,0.00039,0.278,-2.965,0.15,120.011,0.653,I Wish I Was A...,NOISY
0.0079,0.503,188670,0.906,0.00158,0.417,-3.611,0.13,84.033,0.346,LITTLE GODZ,Holy Wars
0.00399,0.595,160080,0.85,0,0.338,-5.481,0.0603,140.041,0.802,Out of Style,The Wrecks
0.000274,0.468,193202,0.934,0.000345,0.0995,-4.256,0.234,179.998,0.557,Where’s Your Head?,NOISY
0.726,0.776,209521,0.595,0.000732,0.102,-3.944,0.12,94.034,0.39,the snack that smiles back (feat. raychel jay),Shawn Wasabi
0.126,0.497,187896,0.914,0.0000198,0.274,-4.308,0.0455,148.893,0.385,Pleaser,Wallows
0.00978,0.421,191069,0.935,0,0.165,-2.601,0.438,155.855,0.645,Typical Story,Hobo Johnson
0.000209,0.452,209598,0.937,0.00000361,0.606,-3.346,0.161,164.032,0.604,1x1 (feat. Nova Twins),Bring Me The Horizon
0.00112,0.504,155147,0.708,0.000424,0.788,-5.896,0.0343,82.009,0.51,Remember When,Wallows
0.0398,0.655,202627,0.668,0.0302,0.0759,-6.733,0.0272,93.003,0.867,These Days,Wallows
0.272,0.539,180507,0.928,0,0.375,-5.914,0.0504,142.044,0.706,Dead-Bird,McCafferty
0.125,0.723,215883,0.927,0,0.0648,-4.326,0.106,98.017,0.874,Zen (with K.Flay & grandson),X Ambassadors
0.000288,0.406,157694,0.986,0,0.261,-3.662,0.14,168.068,0.423,Getting Over It,COUNTERFEIT.
0.000207,0.434,220042,0.929,0.00109,0.0916,-2.749,0.147,92.541,0.428,Kingslayer (feat. BABYMETAL),Bring Me The Horizon
0.00687,0.548,231160,0.89,0.471,0.483,-6.074,0.0471,104.985,0.254,ANXIETY PANORAMA,La Dispute
0.181,0.773,202933,0.741,0,0.239,-6.104,0.0695,129.958,0.709,Brittle Bones Nicky,Rare Americans
0.0878,0.623,260833,0.929,0.71,0.317,-7.865,0.0899,143.857,0.772,F it Up - Live Sesh,Louis Cole
0.0033,0.536,208296,0.845,0,0.0465,-5.765,0.0615,159.953,0.6,Dirty,grandson
0.00305,0.618,181500,0.955,0.0287,0.323,-3.178,0.0837,128.018,0.687,Put A Record On,NOISY
0.46,0.667,118393,0.493,0,0.134,-7.392,0.0363,112.004,0.773,Outlaw,McCafferty
0.0038,0.593,235272,0.658,0.0126,0.0804,-4.957,0.0304,116.021,0.27,1980s Horror Film II,Wallows
0.00193,0.459,163480,0.861,0.00249,0.474,-6.186,0.0603,160.039,0.767,Treacherous Doctor,Wallows
0.0399,0.638,135990,0.82,0,0.163,-4.392,0.0664,100.099,0.431,Lowkey As Hell,Waterparks
0.0055,0.682,268261,0.948,0.0542,0.302,-4.105,0.0514,137.999,0.725,Overtime,KNOWER
0.404,0.192,86243,0.884,0.174,0.43,-5.42,0.143,180.908,0.0584,Itch For The Cure (When Will We Be Free?),Bring Me The Horizon
0.687,0.309,243140,0.467,0,0.0886,-8.574,0.0466,112.995,0.288,One Day The Only Butterflies Left Will Be In Your Chest As You March Towards Your Death (feat. Amy Lee),Bring Me The Horizon
0.0763,0.582,133352,0.81,0,0.351,-4.104,0.106,73.954,0.874,I Miss Having Sex But At Least I Don't Wanna Die Anymore,Waterparks
0.0576,0.441,163054,0.953,0,0.258,-4.01,0.109,128.939,0.798,Watch What Happens Next,Waterparks
0.231,0.631,237027,0.634,0.000013,0.0924,-4.456,0.0247,100.967,0.774,Drunk on Halloween,Wallows
0.00019,0.508,188911,0.92,0.00237,0.326,-5.161,0.148,170.05,0.385,Shadow in the Rose Garden,The M Machine
0.00149,0.443,312227,0.737,0.0032,0.121,-4.509,0.0293,115.277,0.746,Avant Gardener,Courtney Barnett
0.000551,0.294,280152,0.679,0.0000513,0.165,-6.182,0.152,198.03,0.383,Ludens,Bring Me The Horizon
0.0211,0.675,201000,0.728,0.0000171,0.095,-5.779,0.0256,101.509,0.714,Unforgiveable Curse #3,McCafferty
0.65,0.583,212800,0.408,0,0.309,-9.125,0.564,74.738,0.612,Peach Scone,Hobo Johnson
0.889,0.401,253013,0.535,0.00667,0.116,-11.09,0.0407,146.515,0.436,Youth,Daughter
0.0145,0.621,216093,0.852,0.0668,0.377,-4.669,0.0709,96.003,0.323,Tourist - Bonus Track,NOISY
0.000628,0.583,198174,0.864,0.000378,0.231,-5.609,0.187,119.914,0.298,Bring The Drums Back,NOISY
0.00235,0.647,206817,0.834,0.00331,0.0859,-6.418,0.0444,128.002,0.551,TRUST ISSUES - NOISY Remix,Devon
0.00538,0.601,214372,0.955,0.0722,0.213,-2.801,0.268,130.024,0.513,So What?,NOISY
0.00129,0.584,191252,0.871,0,0.266,-3.695,0.0393,97.001,0.655,Easy To Hate,Waterparks
0.0365,0.57,157613,0.887,0.00000521,0.783,-1.089,0.0382,115.889,0.818,Nobody Gets Me (Like You),Wallows
0.0457,0.829,213973,0.852,0.00174,0.118,-4.05,0.16,127.977,0.773,Put A Record On - Sammy Virji Remix,NOISY
0.88,0.636,164000,0.299,0.114,0.108,-13.717,0.198,119.919,0.0646,Airplane Mode,Limbo
0.000688,0.881,348197,0.727,0.13,0.098,-6.762,0.0674,122.018,0.778,Just Like,The M Machine
0.000323,0.497,215004,0.916,0,0.36,-3.323,0.108,96.051,0.401,Teardrops,Bring Me The Horizon
0.0454,0.627,167184,0.909,0,0.165,-3.844,0.0501,117.012,0.663,Dream Boy,Waterparks
0.00735,0.617,182281,0.872,0.000814,0.231,-4.421,0.259,179.984,0.639,Oi (ATM),NOISY
0.0457,0.661,197173,0.789,0,0.0771,-6.52,0.0273,108.009,0.857,The Sea,ITCHY
0.0217,0.54,204991,0.381,0.000687,0.305,-14.323,0.0347,155.882,0.343,i wanna be your girlfriend,girl in red
0.166,0.6,292093,0.871,0.0000296,0.0629,-5.148,0.0997,94.882,0.271,BLIZZARD,Fauve
0.0178,0.729,134753,0.744,0.00272,0.0591,-5.29,0.0819,144.061,0.948,Turn It Up,The Midnight Beast
0.00735,0.617,182281,0.872,0.000814,0.231,-4.421,0.259,179.984,0.639,Oi (ATM),NOISY
0.183,0.775,122333,0.55,0,0.0434,-3.765,0.0345,109.952,0.72,Virtual Aerobics,Wallows
0.000127,0.578,292881,0.865,0.828,0.147,-7.744,0.0881,117.991,0.277,Immigrants,The M Machine
0.000985,0.639,166520,0.816,0.0604,0.141,-5.28,0.0485,138.008,0.802,Scrawny,Wallows
0.229,0.658,183602,0.814,0.00676,0.216,-4.631,0.0558,108.016,0.69,Figure It Out,Royal Blood
0.00477,0.489,146526,0.937,0.000117,0.14,-3.473,0.0494,95.015,0.345,One Step Closer – Spotify Singles,grandson
0.000323,0.497,215004,0.916,0,0.36,-3.323,0.108,96.051,0.401,Teardrops,Bring Me The Horizon
0.982,0.514,157205,0.23,0.00000667,0.0872,-11.525,0.0393,79.201,0.245,Fetch,McCafferty
0.0947,0.674,170031,0.875,0,0.0907,-4.898,0.0283,108.014,0.824,With A Little Help From My Friends,Wallows
0.0000151,0.295,181600,0.835,0.913,0.342,-5.184,0.0413,153.914,0.0835,Only Friend,Wallows
0.000289,0.217,311107,0.905,0.00011,0.222,-4.103,0.0752,96.95,0.236,Welcome to the Black Parade,My Chemical Romance
0.00365,0.458,173500,0.969,0,0.316,-4.031,0.099,75.001,0.421,Head Hunter,Dance Gavin Dance
0.000103,0.462,220539,0.99,0,0.374,-3.175,0.211,137.061,0.204,Obey (with YUNGBLUD),Bring Me The Horizon
0.0165,0.555,214560,0.837,0.0000687,0.26,-5.255,0.115,77.022,0.38,Balmoral Hotel,Rare Americans
0.000106,0.171,210200,0.962,0.000217,0.239,-3.775,0.204,76.64,0.226,Brick Wall,A Day To Remember
0.0235,0.581,191545,0.922,0,0.202,-3.408,0.0667,118.409,0.595,Stupid for You,Waterparks
0.0448,0.813,250480,0.914,0.15,0.0306,-5.563,0.0629,132.047,0.795,Put A Record On - Bushbaby Remix,NOISY
0.288,0.662,390639,0.657,0.856,0.102,-10.002,0.0345,117.986,0.0584,Moon (And It Went Like),Kid Francescoli
0.0289,0.589,291813,0.797,0.00000435,0.383,-5.464,0.15,102.489,0.232,Parasite Eve,Bring Me The Horizon
0.000756,0.527,122222,0.973,0.0000893,0.361,-3.203,0.19,134.942,0.131,Nothing Left,POORSTACY
0.646,0.761,204308,0.788,0.00014,0.326,-1.898,0.121,94.011,0.309,the snack that smiles back (feat. raychel jay),Shawn Wasabi
0.0589,0.632,133147,0.517,0,0.142,-7.544,0.0403,100.246,0.531,Wake Up,Rare Americans
0.686,0.525,204277,0.576,0,0.67,-10.16,0.104,130.683,0.463,So Punk Rock,McCafferty
0.0272,0.532,162577,0.841,0,0.136,-4.993,0.172,172.004,0.23,Turbulent,Waterparks
0.0932,0.614,175208,0.948,0.00157,0.103,-7.767,0.0437,143.971,0.827,Window Shop,KNOWER
0.0978,0.768,271320,0.728,0.00000983,0.135,-6.606,0.167,104.97,0.541,NUITS FAUVES,Fauve
0.000839,0.472,118733,0.811,0.000143,0.373,-5.121,0.0612,164.991,0.637,ESTELLA// (feat. Travis Barker),KennyHoopla
0.0655,0.516,169412,0.725,0.000998,0.268,-7.712,0.343,169.67,0.342,Faces,The M Machine
0.452,0.642,225020,0.835,0,0.17,-7.812,0.049,100.079,0.7,Bottom,McCafferty
0.00127,0.382,185667,0.872,0,0.131,-4.623,0.148,201.977,0.532,It Was You,Rare Americans
0.026,0.703,215804,0.636,0,0.0355,-5.737,0.307,136.949,0.648,Mover Awayer,Hobo Johnson
0.000348,0.698,171285,0.675,0.251,0.0916,-4.941,0.0412,116.02,0.484,lost cause// (with grandson),KennyHoopla
0.0365,0.57,157613,0.887,0.00000521,0.783,-1.089,0.0382,115.889,0.818,Nobody Gets Me (Like You),Wallows
0.00327,0.521,203080,0.885,0.00904,0.324,-4.934,0.125,115.985,0.344,Happy Pills,Weathers
0.00381,0.582,189236,0.736,0,0.0663,-5.969,0.0389,148.052,0.495,Drop Dead,grandson
0.389,0.609,182077,0.604,0,0.329,-7.738,0.07,116.23,0.552,High Definition,Waterparks
